#C_W: azoxystrobin concentration in mug/L
#t_day: time in days
#length_mm: measured daphnid length in mm

index,C_W,t_day,length_mm
0,0.0,0,0.89
1,0.0,2,1.26
2,0.0,4,1.63
3,0.0,7,3.24
4,0.0,9,2.76
5,0.0,11,4.11
6,0.0,14,3.66
7,0.0,16,3.85
8,0.0,18,3.74
9,0.0,21,
10,0.0,0,0.92
11,0.0,2,1.14
12,0.0,4,1.49
13,0.0,7,2.96
14,0.0,9,2.64
15,0.0,11,3.37
16,0.0,14,3.58
17,0.0,16,4.29
18,0.0,18,3.8
19,0.0,21,3.98
20,0.0,0,0.86
21,0.0,2,1.0
22,0.0,4,1.46
23,0.0,7,2.59
24,0.0,9,2.7
25,0.0,11,3.44
26,0.0,14,3.72
27,0.0,16,3.7
28,0.0,18,4.06
29,0.0,21,3.56
30,0.0,0,0.9
31,0.0,2,1.18
32,0.0,4,1.64
33,0.0,7,2.49
34,0.0,9,3.1
35,0.0,11,3.63
36,0.0,14,3.55
37,0.0,16,3.55
38,0.0,18,4.05
39,0.0,21,3.95
40,0.0,0,0.93
41,0.0,2,1.15
42,0.0,4,1.47
43,0.0,7,2.93
44,0.0,9,2.54
45,0.0,11,3.02
46,0.0,14,3.93
47,0.0,16,3.74
48,0.0,18,3.76
49,0.0,21,3.86
50,0.0,0,0.78
51,0.0,2,1.19
52,0.0,4,1.53
53,0.0,7,2.84
54,0.0,9,2.82
55,0.0,11,3.51
56,0.0,14,3.52
57,0.0,16,3.92
58,0.0,18,3.79
59,0.0,21,3.91
60,0.0,0,0.93
61,0.0,2,1.19
62,0.0,4,1.42
63,0.0,7,2.49
64,0.0,9,
65,0.0,11,
66,0.0,14,
67,0.0,16,
68,0.0,18,
69,0.0,21,
70,0.0,0,0.92
71,0.0,2,0.94
72,0.0,4,
73,0.0,7,
74,0.0,9,
75,0.0,11,
76,0.0,14,
77,0.0,16,
78,0.0,18,
79,0.0,21,
80,0.0,0,0.88
81,0.0,2,1.15
82,0.0,4,1.37
83,0.0,7,1.72
84,0.0,9,2.26
85,0.0,11,2.7
86,0.0,14,3.05
87,0.0,16,3.22
88,0.0,18,3.75
89,0.0,21,3.75
90,0.0,0,1.01
91,0.0,2,1.22
92,0.0,4,1.32
93,0.0,7,2.43
94,0.0,9,2.31
95,0.0,11,3.04
96,0.0,14,3.63
97,0.0,16,3.7
98,0.0,18,3.51
99,0.0,21,3.99
100,0.0,0,0.94
101,0.0,2,1.22
102,0.0,4,1.25
103,0.0,7,1.39
104,0.0,9,
105,0.0,11,
106,0.0,14,
107,0.0,16,
108,0.0,18,
109,0.0,21,
110,0.0,0,1.03
111,0.0,2,1.28
112,0.0,4,1.35
113,0.0,7,2.46
114,0.0,9,2.3
115,0.0,11,3.11
116,0.0,14,3.3
117,0.0,16,3.38
118,0.0,18,3.5
119,0.0,21,3.59
120,0.0,0,0.95
121,0.0,2,1.3
122,0.0,4,0.83
123,0.0,7,
124,0.0,9,
125,0.0,11,
126,0.0,14,
127,0.0,16,
128,0.0,18,
129,0.0,21,
130,0.0,0,0.92
131,0.0,2,1.53
132,0.0,4,1.95
133,0.0,7,2.22
134,0.0,9,3.08
135,0.0,11,2.72
136,0.0,14,3.46
137,0.0,16,
138,0.0,18,3.65
139,0.0,21,3.81
140,0.0,0,0.99
141,0.0,2,1.18
142,0.0,4,1.28
143,0.0,7,2.38
144,0.0,9,3.01
145,0.0,11,3.3
146,0.0,14,3.32
147,0.0,16,3.57
148,0.0,18,3.8
149,0.0,21,4.09
150,2.0,0,0.79
151,2.0,2,1.08
152,2.0,4,1.46
153,2.0,7,2.45
154,2.0,9,2.81
155,2.0,11,3.19
156,2.0,14,3.6
157,2.0,16,3.45
158,2.0,18,3.74
159,2.0,21,3.99
160,2.0,0,0.83
161,2.0,2,1.02
162,2.0,4,1.43
163,2.0,7,2.72
164,2.0,9,2.67
165,2.0,11,3.42
166,2.0,14,3.88
167,2.0,16,3.75
168,2.0,18,3.89
169,2.0,21,3.96
170,2.0,0,1.04
171,2.0,2,1.23
172,2.0,4,
173,2.0,7,
174,2.0,9,
175,2.0,11,
176,2.0,14,
177,2.0,16,
178,2.0,18,
179,2.0,21,
180,2.0,0,0.89
181,2.0,2,1.11
182,2.0,4,1.59
183,2.0,7,2.07
184,2.0,9,
185,2.0,11,
186,2.0,14,
187,2.0,16,
188,2.0,18,
189,2.0,21,
190,2.0,0,0.93
191,2.0,2,1.17
192,2.0,4,1.65
193,2.0,7,3.07
194,2.0,9,2.99
195,2.0,11,3.37
196,2.0,14,3.9
197,2.0,16,3.9
198,2.0,18,3.92
199,2.0,21,4.01
200,2.0,0,0.97
201,2.0,2,1.25
202,2.0,4,1.67
203,2.0,7,3.16
204,2.0,9,2.9
205,2.0,11,3.73
206,2.0,14,3.7
207,2.0,16,4.39
208,2.0,18,3.96
209,2.0,21,4.11
210,2.0,0,0.93
211,2.0,2,1.21
212,2.0,4,1.64
213,2.0,7,2.67
214,2.0,9,3.1
215,2.0,11,3.91
